name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
74772 CH4_biogas,eGon2035,74772,CH4_biogas,14.403899999999998,1.0,25.604384371428317,1.0,0,inf,Slack,14.403899999999998,14.403899999999998
74772 load shedding,,74772,load shedding,798107.2712050893,1.0,10000.007449960845,1.0,1,0.0,PQ,798107.2712050893,798107.2712050893
74773 load shedding,,74773,load shedding,1117350.179687125,1.0000000000000002,10000.007246577443,1.0000000000000002,1,0.0,PQ,1117350.1796871251,1117350.179687125
74774 CH4_biogas,eGon2035,74774,CH4_biogas,7.4727,1.0,25.611009301850753,1.0,0,inf,Slack,7.4727,7.4727
74774 load shedding,,74774,load shedding,638485.8169640715,1.0,10000.009959472887,1.0,1,0.0,PQ,638485.8169640715,638485.8169640715
74775 CH4_biogas,eGon2035,74775,CH4_biogas,12.2379,1.0,25.606736663015184,1.0,0,inf,Slack,12.2379,12.2379
74775 load shedding,,74775,load shedding,478864.3627230536,1.0,10000.006574700192,1.0,1,0.0,PQ,478864.3627230536,478864.3627230536
74776 CH4_biogas,eGon2035,74776,CH4_biogas,39.4212,1.0,25.60626613866146,1.0,0,inf,Slack,39.4212,39.4212
74776 load shedding,,74776,load shedding,1117350.179687125,1.0000000000000002,10000.005755203603,1.0000000000000002,1,0.0,PQ,1117350.1796871251,1117350.179687125
74777 load shedding,,74777,load shedding,478864.3627230536,1.0,10000.007498155608,1.0,1,0.0,PQ,478864.3627230536,478864.3627230536
74778 CH4_biogas,eGon2035,74778,CH4_biogas,61.730999999999995,1.0,25.608610905884127,1.0,0,inf,Slack,61.730999999999995,61.730999999999995
74778 load shedding,,74778,load shedding,798107.2712050893,1.0,10000.008218667474,1.0,1,0.0,PQ,798107.2712050893,798107.2712050893
74779 CH4_biogas,eGon2035,74779,CH4_biogas,12.995999999999999,1.0,25.603679015213423,1.0,0,inf,Slack,12.995999999999999,12.995999999999999
74779 load shedding,,74779,load shedding,4309779.264507483,1.0,10000.00755086394,1.0,1,0.0,PQ,4309779.264507483,4309779.264507483
74780 load shedding,,74780,load shedding,159621.45424101787,1.0,10000.01385784171,1.0,1,0.0,PQ,159621.45424101787,159621.45424101787
74781 CH4_biogas,eGon2035,74781,CH4_biogas,9.25965,1.0,25.613040509040825,1.0,0,inf,Slack,9.25965,9.25965
74781 load shedding,,74781,load shedding,957728.7254461071,1.0,10000.004804457812,1.0,1,0.0,PQ,957728.7254461072,957728.7254461071
74782 CH4_biogas,eGon2035,74782,CH4_biogas,18.9525,1.0,25.626587943888868,1.0,0,inf,Slack,18.9525,18.9525
