name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
134,eGon2035,17,52167,rural_heat_pump,362.849284352936,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,362.849284352936,,0.0,0.0,0.0,1.0,0.0,,,,,,,
135,eGon2035,17,69931,BEV_charger,768.4074943065643,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,768.4074943065643,,0.0,0.0,0.0,1.0,0.0,,,,,,,
137,eGon2035,17,75011,central_heat_pump,6.812739052577885,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,6.812739052577885,,0.0,0.0,0.0,1.0,0.0,,,,,,,
138,eGon2035,17,75011,central_resistive_heater,1.3391392254086274,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.3391392254086274,,0.0,0.0,0.0,1.0,0.0,,,,,,,
139,eGon2035,17,75012,central_heat_pump,2.8152030820478515,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.8152030820478515,,0.0,0.0,0.0,1.0,0.0,,,,,,,
140,eGon2035,17,75012,central_resistive_heater,0.65822926601541,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.65822926601541,,0.0,0.0,0.0,1.0,0.0,,,,,,,
141,eGon2035,17,75017,central_heat_pump,1.0466756564908848,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.0466756564908848,,0.0,0.0,0.0,1.0,0.0,,,,,,,
142,eGon2035,17,75017,central_resistive_heater,0.20421581572149,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.20421581572149,,0.0,0.0,0.0,1.0,0.0,,,,,,,
143,eGon2035,18,43546,dsm,263.10710719490555,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,263.10710719490555,,0.0,0.0,0.0,1.0,0.0,,,,,,,
145,eGon2035,18,51638,central_resistive_heater,0.06678612819130694,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.06678612819130694,,0.0,0.0,0.0,1.0,0.0,,,,,,,
146,eGon2035,18,51647,central_resistive_heater,0.00514884499852173,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.00514884499852173,,0.0,0.0,0.0,1.0,0.0,,,,,,,
147,eGon2035,18,51672,central_heat_pump,0.0019435178033735117,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.0019435178033735117,,0.0,0.0,0.0,1.0,0.0,,,,,,,
148,eGon2035,18,51672,central_resistive_heater,0.0025850699522691335,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.0025850699522691335,,0.0,0.0,0.0,1.0,0.0,,,,,,,
