AC ID,Heat ID,Distance to Heat [km],Point Heat
31474,51081,1.552,POINT (744571.9482001566 6661609.163449757)
31475,49707,2.146,POINT (1288438.7982606476 6152832.718417411)
31478,50768,1.183,POINT (1002520.1637591077 6589675.288504301)
31479,50774,1.2,POINT (993968.5130356221 6589894.175603791)
31481,50262,20.051,POINT (1173574.3100388627 6369999.187562066)
31483,51577,3.697,POINT (1001862.3300177875 6869291.167220313)
31484,51540,6.255,POINT (996770.3074850921 6855319.869367019)
31490,50373,7.346,POINT (982976.2200106955 6423873.840729131)
31491,51545,2.532,POINT (959353.8018553831 6857502.860514152)
31497,50271,6.372,POINT (1212912.4799762852 6372986.924042626)
31501,50726,5.629,POINT (787329.5135273868 6564677.334782635)
31504,51491,7.97,POINT (1010331.602107832 6835288.232168228)
31505,51493,2.623,POINT (966112.8177682416 6834699.155636069)
31510,50158,4.451,POINT (1346969.476209785 6329470.607730839)
31513,50241,1.817,POINT (1309214.250347029 6359423.617440601)
31515,50213,1.547,POINT (1322869.1161085414 6347643.559434193)
31516,50124,3.111,POINT (1409072.1533655652 6311169.6624882445)
31517,49611,14.136,POINT (1234113.2638805695 6112091.185011578)
31518,50043,3.182,POINT (1356658.223695793 6271639.481030034)
31519,50120,0.441,POINT (1367550.4475349835 6310422.494276103)
31521,50095,2.912,POINT (1347070.9195858592 6302147.318393398)
31523,50563,0.581,POINT (1340114.1107890063 6489940.658654366)
31524,51761,17.336,POINT (818045.8824923328 7013287.473117158)
31525,51706,1.154,POINT (814774.8639614034 6957848.181025979)
31526,51485,0.425,POINT (956587.5036783582 6830522.484324809)
31531,51805,9.549,POINT (1455401.273668431 7049550.181205856)
31532,50313,4.896,POINT (1343835.0859304136 6381557.291576399)
31536,50146,0.299,POINT (1411296.871792845 6313542.610511912)
31538,51275,2.934,POINT (1444652.5287561805 6721323.909551116)
31539,50342,1.96,POINT (1285204.0648086776 6404126.365884132)
31543,51725,5.784,POINT (1484560.255407924 6978918.966558367)
31544,50798,9.789,POINT (1081062.125180935 6597704.6216898225)
31551,51439,1.833,POINT (937495.8103168958 6800809.708136561)
31553,50178,13.22,POINT (1380402.6359648819 6332424.608230655)
31555,50145,2.907,POINT (1397541.5973280957 6313726.627684572)
31558,51913,14.109,POINT (1059165.2060132353 7158145.107858617)
31559,51913,5.072,POINT (1059165.2060132353 7158145.107858617)
31562,50235,0.629,POINT (1383726.5179091466 6354632.492970161)
31564,50854,2.098,POINT (782424.4813612108 6604398.848606272)
31566,50286,6.279,POINT (1312382.7513437145 6384164.229945795)
31572,50164,1.937,POINT (1429399.3663512114 6327215.2077487875)
31573,50083,18.465,POINT (1433876.093657185 6288256.083345778)
31574,50906,1.59,POINT (1281296.8822684963 6626769.224206521)
31576,50053,4.446,POINT (1351801.3316636125 6272647.301556203)
31578,50059,12.647,POINT (1361936.2688980168 6273268.44945769)
31579,49976,11.456,POINT (1379655.664491496 6245175.473649951)
31582,51109,2.448,POINT (782928.9528986664 6670741.796503471)
31583,51331,3.188,POINT (799744.9852675112 6739489.458609606)
31586,51395,3.629,POINT (810132.6294703358 6769277.2559620915)
31587,51376,0.276,POINT (826806.8608686082 6758499.149712222)
31588,51344,2.451,POINT (831280.0812036137 6744675.647524904)
31589,51314,12.004,POINT (791838.0327666367 6739488.4039001325)
31590,51364,20.517,POINT (799947.2589304743 6754007.286466274)
31592,51327,3.92,POINT (775483.943577342 6740661.665328471)
31594,51460,17.461,POINT (777634.4730923477 6813537.795624098)
31595,51351,26.055,POINT (765239.8464166863 6745095.428051568)
31598,51437,2.294,POINT (1305344.1268681379 6802367.156295151)
31599,50114,1.873,POINT (906135.7017153389 6310328.299212201)
31601,50665,11.366,POINT (966514.7538473313 6548971.142072336)
31604,50781,1.677,POINT (796901.9324847204 6587685.194135529)
31609,51470,17.451,POINT (1149349.7311616782 6828640.328104895)
31611,50533,12.355,POINT (1239652.9520340085 6483800.925598181)
31615,50049,10.524,POINT (1275514.9302772558 6280176.352446971)
31616,50091,19.346,POINT (1272530.2681276002 6299348.589049333)
31617,50314,2.856,POINT (1294289.3588701617 6392088.489892756)
31619,49857,1.024,POINT (1052243.830771814 6214334.6668728)
31620,50390,5.396,POINT (1288500.1004518513 6436778.620317844)
31621,50398,1.305,POINT (1360149.0149373952 6435434.065038671)
31623,51461,3.003,POINT (900718.4968653745 6818762.406391853)
31624,50386,2.931,POINT (1357142.3616497356 6430780.931095701)
31625,50332,13.626,POINT (1354910.463251656 6399419.33398086)
31627,51507,2.474,POINT (1097814.699079886 6843219.35592602)
31628,51431,3.672,POINT (1093344.671729671 6797799.312668417)
31632,51455,2.759,POINT (975056.0576687172 6816271.2233344)
31635,49921,5.083,POINT (1272499.3051039756 6235898.412597444)
31640,50352,1.518,POINT (1116363.8250729074 6410493.743534754)
31646,51417,1.848,POINT (1013843.9861748385 6788067.401474329)
31647,51823,2.936,POINT (1079543.4393020074 7070969.929922241)
31648,49728,17.077,POINT (1300872.3206875166 6162065.081285731)
31649,51543,4.79,POINT (1069412.8807887677 6856141.824110282)
