scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down,p_set,p_max_pu,terrain_factor,committable,ramp_limit_up,ramp_limit_down
eGon2035,34,51699,power_to_Heat,0.0,True,inf,1848.7442922374428,0.0,,0.8805,0.0,0.0,0.0,1.1583244482960895,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,51724,power_to_Heat,0.0,True,inf,1836.75799086758,0.0,,0.8805,0.0,0.0,0.0,0.98391827225542,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,51802,power_to_Heat,0.0,True,inf,1837.8995433789955,0.0,,0.8805,0.0,0.0,0.0,2.5522707665561675,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,51820,central_resistive_heater,0.0378143735607201,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.0378143735607201,,0,inf,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,51820,power_to_Heat,0.0,True,inf,1855.964611872146,0.0,,0.8805,0.0,0.0,0.0,1.711950968693963,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,51822,central_resistive_heater,0.1343396840752279,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.1343396840752279,,0,inf,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,51841,power_to_Heat,0.0,True,inf,1840.867579908676,0.0,,0.8805,0.0,0.0,0.0,0.0566674997911986,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,51891,power_to_Heat,0.0,True,inf,1838.8698630136985,0.0,,0.8805,0.0,0.0,0.0,2.193221184606399,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,51910,power_to_Heat,0.0,True,inf,1834.931506849315,0.0,,0.8805,0.0,0.0,0.0,0.2301236091451673,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,52189,rural_heat_pump,453.5093550179426,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,453.5093550179426,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,70096,BEV charger,798.4977859258652,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,798.4977859258652,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
