name,scn_name,bus,type,carrier,p_nom,p_nom_extendable,p_max_pu,marginal_cost,build_year,efficiency,min_up_time,min_down_time,up_time_before,down_time_before,e_nom_max,control,weight,p_nom_opt
8 others,eGon2035,8,,others,12.62353458968511,False,1.0,0.002296476409935704,0,1.0,0,0,0,0,inf,PV,12.62353458968511,12.62353458968511
8 solar,eGon2035,8,,solar,219.24975913586127,False,1.0,0.018421077006963375,0,1.0,0,0,0,0,inf,PV,219.24975913586127,219.24975913586127
8 solar_rooftop,eGon2035,8,,solar_rooftop,137.11450618349113,False,1.0,0.01790888554329105,0,1.0,0,0,0,0,inf,PV,137.11450618349113,137.11450618349113
8 wind_offshore,eGon2035,8,,wind_offshore,3015.0,False,1.0,2.5630488902056507,0,1.0,0,0,0,0,inf,PV,3015.0,3015.0
8 wind_onshore,eGon2035,8,,wind_onshore,959.179833761798,False,0.9999999999999999,1.307683641944908,0,0.9999999999999999,0,0,0,0,inf,PV,959.179833761798,959.179833761798
80 biomass,eGon2035,80,,biomass,6.97836064902799,False,1.0,42.107630549347675,0,1.0,0,0,0,0,inf,PV,6.97836064902799,6.97836064902799
80 central_biomass_CHP,eGon2035,80,,central_biomass_CHP,2.436545586163425,False,1.0,42.10275943661842,0,1.0,0,0,0,0,inf,PV,2.436545586163425,2.436545586163425
80 industrial_biomass_CHP,eGon2035,80,,industrial_biomass_CHP,55.39073765165967,False,1.0,42.10854305047416,0,1.0,0,0,0,0,inf,PV,55.39073765165967,55.39073765165967
80 load shedding,,80,,load shedding,8345790.0,False,1.0,10000.008472906944,0,1.0,0,0,1,0,0.0,PQ,8345790.0,8345790.0
80 run_of_river,eGon2035,80,,run_of_river,0.163637914556637,False,0.65,0.008562718599029013,0,1.0,0,0,0,0,inf,PV,0.163637914556637,0.163637914556637
80 solar,eGon2035,80,,solar,95.37290941151929,False,0.9999999999999999,0.020501695081072004,0,0.9999999999999999,0,0,0,0,inf,PV,95.37290941151929,95.37290941151929
80 solar_rooftop,eGon2035,80,,solar_rooftop,578.4994326386574,False,0.9999999999999999,0.01673263561162409,0,0.9999999999999999,0,0,0,0,inf,PV,578.4994326386574,578.4994326386574
80 wind_onshore,eGon2035,80,,wind_onshore,1041.8778972779971,False,0.9999999999999999,1.3101120142881986,0,0.9999999999999999,0,0,0,0,inf,PV,1041.8778972779971,1041.8778972779971
80000 load shedding,,80000,,load shedding,88785.0,False,1.0,10000.002438422984,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80001 load shedding,,80001,,load shedding,88785.0,False,1.0,10000.004529692487,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80002 load shedding,,80002,,load shedding,88785.0,False,1.0,10000.00037678079,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80003 load shedding,,80003,,load shedding,88785.0,False,1.0,10000.004468766412,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80004 load shedding,,80004,,load shedding,88785.0,False,1.0,10000.012273242308,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
