,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,43761 battery,43761 pumped_hydro,43762 battery,43762 pumped_hydro,43763 battery,43763 pumped_hydro,43764 battery,43764 pumped_hydro,43765 battery,43766 battery,43767 battery,43767 pumped_hydro,43768 battery,43769 battery,43769 pumped_hydro,43771 battery,43773 battery,43773 pumped_hydro,43774 battery,5 battery,5 pumped_hydro
21,12744.347711798748,2034.5999999728647,3.4488641200408875e-08,8.126395072392969e-08,6270.695207449591,238.79999932113267,2.3741050231615148e-08,4.239491534151107e-08,8.17746999627508e-08,6.946393675604456e-07,4.237682923091931e-08,1.230365564773941e-07,2.8631848998066908e-08,5.740417885109636e-08,3.4793310120235214e-08,8.250930294089576e-08,6.130391450758551e-08,2.4197363310014125e-07,4613.221998871139,9.862630734388947e-08,3.299469240903915e-08,7.209730276757053e-08,3.0294116021299693e-09,3.019745308927062e-09,3.6411672148937373e-09,2.5774321409844676e-08,2.4124979292942353e-07,7938.599855369582,3119.17578231957,4.3042024241043796e-08,1.291156739811341e-07
22,8.842965564782e-07,1.240224361202043e-06,2.3781421874013759e-07,1.6388875583209065e-07,3750.4617844541385,238.79999902805537,2.9167421533904977e-07,1.3434242925701033e-07,3.408180031048004e-07,6.963174792171318e-07,1.699331572472114e-07,1.8779149839920112e-07,2.563588808035663e-07,1.4328533455325516e-07,2.2635409142719395e-07,1.6401654137714842e-07,9.359970262261095e-08,2.569711292401669e-07,4580.1226308499445,2533.8341027802817,2.382561187698896e-07,1.5179099986481644e-07,1025.1301772069712,4.45181773299578e-07,5.133801743728312e-07,2.74342465473573e-07,3749.9999998937124,7938.599855349267,7315.385634457785,2.0778161419302563e-07,1.9596655815292622e-07
23,4.678082020437085e-08,1.534888148945504e-07,9.736438322022114e-08,1.9985791769016594e-07,2.385350809958487e-07,238.7999988287871,7.030725739087389e-08,1.3264684613336969e-07,1.2882131646208884e-07,7.159861657854622e-07,1.397110346726074e-07,2.782497346716763e-07,8.328697510688496e-08,1.570390712853022e-07,1.0018755769905627e-07,2.0458899179217412e-07,3.321509005100795e-06,3.174878991105915e-06,9.384340551272732e-08,9.385668857289886e-08,9.384932279595838e-08,1.7579179814551367e-07,2.999027820351811e-09,10631.872752790057,9163.924639817005,7.57572324592808e-08,5.3270370048650044e-08,2519.4765719644,10411.759144583139,1.2129918756557207e-07,2.589158793243635e-07
24,12744.347711762366,2034.599999847719,28533.95789555146,12911.999998949144,9354.724463087767,238.7999988522542,20538.7829751877,5567.999999534063,9802.798141178688,12745.832466680757,4951.3561589927385,863.604678689644,8099.999999868892,2.8180752723581427e-06,6283.253853407346,23933.999999023086,8022.030237194106,4125.599847443333,4613.221998838916,2533.8341027389106,62594.80675675755,1.324088596665299e-06,527.8674840628229,15858.555306635497,13567.927783756923,12150.14697558754,3749.9999999467295,7599.687376532158,15738.048172003762,19825.388812355322,1679.9999984287363
25,12744.347711672244,2034.599999748941,28533.957895566888,12911.999998999027,9354.724457652537,238.79999874806373,20538.782975116417,5567.999999512031,9802.7981409533,12745.832466704938,10605.449696612062,1799.9999981401681,8099.999999845781,2.784857728774324e-06,6283.25385346578,23933.999999102343,1530.8539237326388,4125.599847383462,4613.221998737305,2533.834102637289,62594.80675677595,1.31358356175032e-06,1025.1301772099753,28668.874499999973,24023.99999999997,12150.14697553704,9.132349463926188e-08,7.036169592708995e-07,15738.048171859182,19825.388812432495,1679.9999985237196
26,1.1275650184073237e-07,2034.5999994925905,1.1275650186092564e-07,12911.999998887148,1.1275649668319619e-07,238.7999986585507,1.1275650441872119e-07,5567.999999344146,1.127564989112452e-07,12745.8324666559,1.1275649612377497e-07,1799.9999980324394,1.1275649486733373e-07,6.047927933796335e-07,1.1275649214373656e-07,23933.999998999883,1.1275648852206762e-07,4125.599847327286,1.127564907225508e-07,1.1285151969191772e-07,1.1275651369947823e-07,3.427928609523118e-07,2.5098687424920995e-11,2.695080389480808e-11,2.990730113827613e-11,1.1275649738925575e-07,9.615278999264699e-08,6.817485333557305e-07,1.1285153052785436e-07,1.1275649630162479e-07,1679.9999984398294
27,12744.34771171158,2034.5999997692004,28533.95789560859,12911.99999949731,9354.724463223845,238.79999967661342,20538.782975172817,5567.99999974733,9802.798141226216,18217.799999608218,10605.449696598804,1799.9999985355205,8099.99999976445,6.082050429983459e-07,6283.25385352256,23933.999999833035,8022.030237193023,4125.599853222523,4613.221998782947,2533.8341026829044,20580.040049006293,3.2068655318246613e-07,1025.130177206889,28668.874499874128,15894.938286130562,12150.146975574244,3749.999999889644,7938.599855628455,15738.048171902901,19825.388812471254,1679.9999995785354
28,12744.346991015962,2034.5999997526515,1.8319640488639486e-07,12911.999999453004,5.692830699000539e-07,238.79999966782785,20538.782972680325,5567.999999741236,4.4561779339056867e-07,18217.79999960479,3.279244902745348e-07,1799.9999984361796,1.8138487975148632e-08,2.1315216833387503e-08,6283.253850556888,23933.999999806536,3.5485151003410435e-07,4125.5998532101385,4613.221278245309,1408.8210163858541,2.404342017590721e-08,2.7699709997545057e-08,3.315311189511542e-09,28668.874499901045,15894.938286126999,12150.1469756009,4.578458327570648e-07,7938.599855624921,442.4813312115389,2.5303652784872447e-07,1679.9999995505807
29,12744.34771179684,2034.599999928345,28533.957895688516,12911.999999940123,9354.724463313942,238.79999995859313,20538.78297524743,5567.999999878205,9802.798141313198,18217.799999950556,10605.449696599708,1799.9999984746128,8099.999999963027,8369.999999951318,6283.253853572549,23933.99999993492,8022.030237287353,4125.599853581706,4613.221998868206,2533.8341027682086,6.010961919305797e-06,8.627940474597489e-07,1.5966501245710563e-08,1.9172476983444494e-08,2.1331473773863107e-08,1.0460120880419421e-07,3749.9999999872957,7938.599855981591,15738.048171988205,19825.388812547924,1679.999999927569
30,1.2100092606209806e-08,1.4523747450303348e-08,1.3984394789388254e-08,1.45955811589218e-08,1.0729148092696768e-08,1.2706201184611515e-08,1.3070366854548037e-08,1.5769777931022908e-08,1.1188764757467153e-08,1.363503347011397e-08,1.6559614269367714e-08,2.0081832888082897e-08,5.223944573364567e-08,7.843787775241008e-08,1.0826019262274021e-08,1.5109243207305214e-08,7.783932947967832e-09,9.148795567694738e-09,1.210009259462409e-08,1.2100349032729093e-08,7.5465671440944765e-06,1.083947735118604e-06,2.611742091546002e-06,2.6066476437698258e-06,4.809229722191831e-07,1.9438007085538142e-08,7.815871565558635e-09,9.203801976304125e-09,1.2308717216862497e-08,1.2983687061772771e-08,1.4910045755064198e-08
