name,scn_name,bus,carrier,p_set
70314 land transport EV,eGon2035,70314,land transport EV,0.0
70340 land transport EV,eGon2035,70340,land transport EV,0.0
70356 land transport EV,eGon2035,70356,land transport EV,0.0
70361 land transport EV,eGon2035,70361,land transport EV,0.0
70366 land transport EV,eGon2035,70366,land transport EV,0.0
70370 land transport EV,eGon2035,70370,land transport EV,0.0
70379 land transport EV,eGon2035,70379,land transport EV,0.0
70422 land transport EV,eGon2035,70422,land transport EV,0.0
70426 land transport EV,eGon2035,70426,land transport EV,0.0
70429 land transport EV,eGon2035,70429,land transport EV,0.0
70432 land transport EV,eGon2035,70432,land transport EV,0.0
70437 land transport EV,eGon2035,70437,land transport EV,0.0
70458 land transport EV,eGon2035,70458,land transport EV,0.0
70469 land transport EV,eGon2035,70469,land transport EV,0.0
70516 land transport EV,eGon2035,70516,land transport EV,0.0
70538 land transport EV,eGon2035,70538,land transport EV,0.0
70544 land transport EV,eGon2035,70544,land transport EV,0.0
70567 land transport EV,eGon2035,70567,land transport EV,0.0
70592 land transport EV,eGon2035,70592,land transport EV,0.0
70605 land transport EV,eGon2035,70605,land transport EV,0.0
70610 land transport EV,eGon2035,70610,land transport EV,0.0
70625 land transport EV,eGon2035,70625,land transport EV,0.0
70645 land transport EV,eGon2035,70645,land transport EV,0.0
70658 land transport EV,eGon2035,70658,land transport EV,0.0
70664 land transport EV,eGon2035,70664,land transport EV,0.0
70675 land transport EV,eGon2035,70675,land transport EV,0.0
70684 land transport EV,eGon2035,70684,land transport EV,0.0
70709 land transport EV,eGon2035,70709,land transport EV,0.0
70714 land transport EV,eGon2035,70714,land transport EV,0.0
70878 land transport EV,eGon2035,70878,land transport EV,0.0
70918 land transport EV,eGon2035,70918,land transport EV,0.0
71 AC,eGon2035,71,AC,0.0
71052 land transport EV,eGon2035,71052,land transport EV,0.0
71347 land transport EV,eGon2035,71347,land transport EV,0.0
71372 land transport EV,eGon2035,71372,land transport EV,0.0
71433 land transport EV,eGon2035,71433,land transport EV,0.0
71482 land transport EV,eGon2035,71482,land transport EV,0.0
71639 land transport EV,eGon2035,71639,land transport EV,0.0
72 AC,eGon2035,72,AC,0.0
72226 land transport EV,eGon2035,72226,land transport EV,0.0
73 AC,eGon2035,73,AC,0.0
74 AC,eGon2035,74,AC,0.0
74012 land transport EV,eGon2035,74012,land transport EV,0.0
74013 CH4_for_industry,eGon2035,74013,CH4_for_industry,0.0
74013 rural_gas_boiler,eGon2035,74013,rural_gas_boiler,0.0
74014 CH4_for_industry,eGon2035,74014,CH4_for_industry,0.0
74014 rural_gas_boiler,eGon2035,74014,rural_gas_boiler,0.0
74015 CH4_for_industry,eGon2035,74015,CH4_for_industry,0.0
74015 rural_gas_boiler,eGon2035,74015,rural_gas_boiler,0.0
74016 CH4_for_industry,eGon2035,74016,CH4_for_industry,0.0
74016 rural_gas_boiler,eGon2035,74016,rural_gas_boiler,0.0
74017 CH4_for_industry,eGon2035,74017,CH4_for_industry,0.0
74017 rural_gas_boiler,eGon2035,74017,rural_gas_boiler,0.0
74018 CH4_for_industry,eGon2035,74018,CH4_for_industry,0.0
74018 rural_gas_boiler,eGon2035,74018,rural_gas_boiler,0.0
74019 CH4_for_industry,eGon2035,74019,CH4_for_industry,0.0
74019 rural_gas_boiler,eGon2035,74019,rural_gas_boiler,0.0
74020 CH4_for_industry,eGon2035,74020,CH4_for_industry,0.0
74020 rural_gas_boiler,eGon2035,74020,rural_gas_boiler,0.0
74021 CH4_for_industry,eGon2035,74021,CH4_for_industry,0.0
74021 rural_gas_boiler,eGon2035,74021,rural_gas_boiler,0.0
74022 CH4_for_industry,eGon2035,74022,CH4_for_industry,0.0
74022 rural_gas_boiler,eGon2035,74022,rural_gas_boiler,0.0
74023 CH4_for_industry,eGon2035,74023,CH4_for_industry,0.0
74023 rural_gas_boiler,eGon2035,74023,rural_gas_boiler,0.0
74024 CH4_for_industry,eGon2035,74024,CH4_for_industry,0.0
74024 rural_gas_boiler,eGon2035,74024,rural_gas_boiler,0.0
74025 CH4_for_industry,eGon2035,74025,CH4_for_industry,0.0
74025 rural_gas_boiler,eGon2035,74025,rural_gas_boiler,0.0
74026 CH4_for_industry,eGon2035,74026,CH4_for_industry,0.0
74026 rural_gas_boiler,eGon2035,74026,rural_gas_boiler,0.0
74027 CH4_for_industry,eGon2035,74027,CH4_for_industry,0.0
74027 rural_gas_boiler,eGon2035,74027,rural_gas_boiler,0.0
74028 CH4_for_industry,eGon2035,74028,CH4_for_industry,0.0
74028 rural_gas_boiler,eGon2035,74028,rural_gas_boiler,0.0
74029 CH4_for_industry,eGon2035,74029,CH4_for_industry,0.0
74029 rural_gas_boiler,eGon2035,74029,rural_gas_boiler,0.0
74030 CH4_for_industry,eGon2035,74030,CH4_for_industry,0.0
74030 rural_gas_boiler,eGon2035,74030,rural_gas_boiler,0.0
74031 CH4_for_industry,eGon2035,74031,CH4_for_industry,0.0
74031 rural_gas_boiler,eGon2035,74031,rural_gas_boiler,0.0
74032 CH4_for_industry,eGon2035,74032,CH4_for_industry,0.0
74032 rural_gas_boiler,eGon2035,74032,rural_gas_boiler,0.0
74033 CH4_for_industry,eGon2035,74033,CH4_for_industry,0.0
74033 rural_gas_boiler,eGon2035,74033,rural_gas_boiler,0.0
74034 CH4_for_industry,eGon2035,74034,CH4_for_industry,0.0
74034 rural_gas_boiler,eGon2035,74034,rural_gas_boiler,0.0
74035 CH4_for_industry,eGon2035,74035,CH4_for_industry,0.0
74035 rural_gas_boiler,eGon2035,74035,rural_gas_boiler,0.0
74036 CH4_for_industry,eGon2035,74036,CH4_for_industry,0.0
74036 rural_gas_boiler,eGon2035,74036,rural_gas_boiler,0.0
74037 CH4_for_industry,eGon2035,74037,CH4_for_industry,0.0
74037 rural_gas_boiler,eGon2035,74037,rural_gas_boiler,0.0
74038 CH4_for_industry,eGon2035,74038,CH4_for_industry,0.0
74038 rural_gas_boiler,eGon2035,74038,rural_gas_boiler,0.0
74039 CH4_for_industry,eGon2035,74039,CH4_for_industry,0.0
74039 rural_gas_boiler,eGon2035,74039,rural_gas_boiler,0.0
74040 CH4_for_industry,eGon2035,74040,CH4_for_industry,0.0
74040 rural_gas_boiler,eGon2035,74040,rural_gas_boiler,0.0
74041 CH4_for_industry,eGon2035,74041,CH4_for_industry,0.0
74041 rural_gas_boiler,eGon2035,74041,rural_gas_boiler,0.0
74042 CH4_for_industry,eGon2035,74042,CH4_for_industry,0.0
74042 rural_gas_boiler,eGon2035,74042,rural_gas_boiler,0.0
74043 CH4_for_industry,eGon2035,74043,CH4_for_industry,0.0
74043 rural_gas_boiler,eGon2035,74043,rural_gas_boiler,0.0
74044 CH4_for_industry,eGon2035,74044,CH4_for_industry,0.0
74044 rural_gas_boiler,eGon2035,74044,rural_gas_boiler,0.0
74045 CH4_for_industry,eGon2035,74045,CH4_for_industry,0.0
74045 rural_gas_boiler,eGon2035,74045,rural_gas_boiler,0.0
74046 CH4_for_industry,eGon2035,74046,CH4_for_industry,0.0
74046 rural_gas_boiler,eGon2035,74046,rural_gas_boiler,0.0
74047 CH4_for_industry,eGon2035,74047,CH4_for_industry,0.0
