name,scn_name,bus,type,carrier,p_nom,p_nom_extendable,p_max_pu,marginal_cost,build_year,efficiency,min_up_time,min_down_time,up_time_before,down_time_before,e_nom_max,control,weight,p_nom_opt
3 central_biomass_CHP,eGon2035,3,,central_biomass_CHP,155.7469153274711,False,1.0,42.107573440865174,0,1.0,0,0,0,0,inf,PV,155.7469153274711,155.7469153274711
3 industrial_biomass_CHP,eGon2035,3,,industrial_biomass_CHP,1558.051359681103,False,1.0,42.108382051382875,0,1.0,0,0,0,0,inf,PV,1558.051359681103,1558.051359681103
3 load shedding,,3,,load shedding,103066840.0,False,1.0,10000.008221693955,0,1.0,0,0,1,0,0.0,PQ,103066840.0,103066840.0
3 others,eGon2035,3,,others,100.0,False,1.0,0.0038578662085752245,0,1.0,0,0,0,0,inf,PV,100.0,100.0
3 run_of_river,eGon2035,3,,run_of_river,69.00680490008513,False,0.6499999999999999,0.008396156549440282,0,0.9999999999999998,0,0,0,0,inf,PV,69.00680490008513,69.00680490008513
3 solar,eGon2035,3,,solar,2771.2093625678294,False,1.0000000000000002,0.01801000253620501,0,1.0000000000000002,0,0,0,0,inf,PV,2771.2093625678294,2771.2093625678294
3 solar_rooftop,eGon2035,3,,solar_rooftop,9932.514625257338,False,1.0,0.01811100079132459,0,1.0,0,0,0,0,inf,PV,9932.514625257338,9932.514625257338
3 wind_offshore,eGon2035,3,,wind_offshore,20901.0,False,1.0,2.564948696766454,0,1.0,0,0,0,0,inf,PV,20901.0,20901.0
3 wind_onshore,eGon2035,3,,wind_onshore,27134.361217481375,False,1.0,1.3083176221540662,0,1.0,0,0,0,0,inf,PV,27134.361217481375,27134.361217481375
37222 load shedding,,37222,,load shedding,50325280.0,False,1.0,10000.007761298959,0,1.0,0,0,1,0,0.0,PQ,50325280.0,50325280.0
4 biomass,eGon2035,4,,biomass,150.31075971028977,False,1.0,42.10877993009308,0,1.0,0,0,0,0,inf,PV,150.31075971028977,150.31075971028977
4 central_biomass_CHP,eGon2035,4,,central_biomass_CHP,145.82656301677008,False,1.0,42.10896563248384,0,1.0,0,0,0,0,inf,PV,145.82656301677008,145.82656301677008
4 industrial_biomass_CHP,eGon2035,4,,industrial_biomass_CHP,1064.5601390800575,False,0.9999999999999999,42.1081235193649,0,0.9999999999999999,0,0,0,0,inf,PV,1064.5601390800575,1064.5601390800575
4 load shedding,,4,,load shedding,172472400.0,False,1.0,10000.007922847402,0,1.0,0,0,1,0,0.0,PQ,172472400.0,172472400.0
4 oil,eGon2035,4,,oil,24.8,False,1.0,101.83419863104844,0,1.0,0,0,0,0,inf,PV,24.8,24.8
4 others,eGon2035,4,,others,193.14350482528224,False,1.0,0.006282266083479749,0,1.0,0,0,0,0,inf,PV,193.14350482528224,193.14350482528224
4 reservoir,eGon2035,4,,reservoir,16.159556461823463,False,0.65,0.007903555334329532,0,1.0,0,0,0,0,inf,PV,16.159556461823463,16.159556461823463
4 run_of_river,eGon2035,4,,run_of_river,1463.843627321279,False,0.65,0.007698629992341821,0,1.0,0,0,0,0,inf,PV,1463.843627321279,1463.843627321279
4 solar,eGon2035,4,,solar,6519.481016067171,False,1.0,0.018063466271372154,0,1.0,0,0,0,0,inf,PV,6519.481016067171,6519.481016067171
4 solar_rooftop,eGon2035,4,,solar_rooftop,24055.67423460677,False,1.0,0.018070175198484733,0,1.0,0,0,0,0,inf,PV,24055.67423460677,24055.67423460677
4 wind_onshore,eGon2035,4,,wind_onshore,12121.928524248937,False,1.0,1.3077142883823991,0,1.0,0,0,0,0,inf,PV,12121.928524248937,12121.928524248937
41648 load shedding,,41648,,load shedding,33827920.0,False,1.0,10000.008018088352,0,1.0,0,0,1,0,0.0,PQ,33827920.0,33827920.0
42100 load shedding,,42100,,load shedding,69655520.0,False,1.0,10000.00813233697,0,1.0,0,0,1,0,0.0,PQ,69655520.0,69655520.0
42102 load shedding,,42102,,load shedding,46825840.0,False,1.0,10000.007796716625,0,1.0,0,0,1,0,0.0,PQ,46825840.0,46825840.0
42106 load shedding,,42106,,load shedding,66822640.0,False,1.0,10000.00831119342,0,1.0,0,0,1,0,0.0,PQ,66822640.0,66822640.0
43534 load shedding,,43534,,load shedding,48908840.0,False,1.0,10000.007937270619,0,1.0,0,0,1,0,0.0,PQ,48908840.0,48908840.0
43761 load shedding,,43761,,load shedding,749880.0,False,1.0,10000.040971530889,0,1.0,0,0,1,0,0.0,PQ,749880.0,749880.0
43761 oil,eGon2035,43761,,oil,84.20300295,False,1.0,101.87297153088802,0,1.0,0,0,0,0,inf,PV,84.20300295,84.20300295
43761 others,eGon2035,43761,,others,1552.2437133000003,False,1.0,0.04097153088802299,0,1.0,0,0,0,0,inf,PV,1552.2437133000003,1552.2437133000003
43761 reservoir,eGon2035,43761,,reservoir,8301.08374,False,0.65,0.04097153088802299,0,1.0,0,0,0,0,inf,PV,8301.08374,8301.08374
43761 run_of_river,eGon2035,43761,,run_of_river,6217.211426,False,0.65,0.04097153088802299,0,1.0,0,0,0,0,inf,PV,6217.211426,6217.211426
43761 solar,eGon2035,43761,,solar,22500.0,False,1.0,0.05097153088802299,0,1.0,0,0,0,0,inf,PV,22500.0,22500.0
43761 wind_onshore,eGon2035,43761,,wind_onshore,12500.0,False,1.0,1.340971530888023,0,1.0,0,0,0,0,inf,PV,12500.0,12500.0
43762 coal,eGon2035,43762,,coal,615.78599922,False,1.0,49.36847153088802,0,1.0,0,0,0,0,inf,PV,615.78599922,615.78599922
43762 load shedding,,43762,,load shedding,83320.0,False,1.0,10000.040971530889,0,1.0,0,0,1,0,0.0,PQ,83320.0,83320.0
43762 oil,eGon2035,43762,,oil,158.2999992,False,1.0,101.87297153088802,0,1.0,0,0,0,0,inf,PV,158.2999992,158.2999992
43762 others,eGon2035,43762,,others,1530.1999969,False,1.0,0.04097153088802299,0,1.0,0,0,0,0,inf,PV,1530.1999969,1530.1999969
43762 run_of_river,eGon2035,43762,,run_of_river,148.1999969,False,0.65,0.04097153088802299,0,1.0,0,0,0,0,inf,PV,148.1999969,148.1999969
43762 solar,eGon2035,43762,,solar,16443.135739999998,False,1.0,0.05097153088802299,0,1.0,0,0,0,0,inf,PV,16443.135739999998,16443.135739999998
43762 wind_offshore,eGon2035,43762,,wind_offshore,5250.0,False,1.0,2.6009715308880232,0,1.0,0,0,0,0,inf,PV,5250.0,5250.0
43762 wind_onshore,eGon2035,43762,,wind_onshore,7465.0490675,False,1.0,1.340971530888023,0,1.0,0,0,0,0,inf,PV,7465.0490675,7465.0490675
43763 load shedding,,43763,,load shedding,249960.0,False,1.0,10000.040971530889,0,1.0,0,0,1,0,0.0,PQ,249960.0,249960.0
43763 nuclear,eGon2035,43763,,nuclear,595.0,False,1.0,5.240971530888023,0,1.0,0,0,0,0,inf,PV,595.0,595.0
43763 others,eGon2035,43763,,others,2086.8406982,False,1.0,0.04097153088802299,0,1.0,0,0,0,0,inf,PV,2086.8406982,2086.8406982
43763 reservoir,eGon2035,43763,,reservoir,8152.0,False,0.65,0.04097153088802299,0,1.0,0,0,0,0,inf,PV,8152.0,8152.0
43763 run_of_river,eGon2035,43763,,run_of_river,4113.0,False,0.65,0.04097153088802299,0,1.0,0,0,0,0,inf,PV,4113.0,4113.0
43763 solar,eGon2035,43763,,solar,14364.3525,False,1.0,0.05097153088802299,0,1.0,0,0,0,0,inf,PV,14364.3525,14364.3525
